lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype,audio,,,
hiir',hiir,hiiri,mouse,sáhpán,mus,mus,mus_DEU,N,ANIMAL_WILD,https://synaq.org/priv/heli/ev/0001h-00914.mp3,,,
hiitmä,viskama,heittää,throw,bálkestit,kaste,kasta,werfen,V,ACTION_V,https://synaq.org/priv/heli/ev/0001h-00710.mp3,,,
hilkama,särama,loistaa,glitter,šealgut,glitre,glitre_SWE,glitre_DEU,V,YYY,https://synaq.org/priv/heli/ev/0001h-00799.mp3,,,
hind,hind,hinta,price,haddi,pris,pris,pris_DEU,N,FINANCE,https://synaq.org/priv/heli/ev/0001h-00989.mp3,,,
hingämä,hingama,hengittää,breath,vuoigŋat,puste,puste_SWE,puste_DEU,V,BODY_V,https://synaq.org/priv/heli/ev/000101719.mp3,,,
hirm,hirm,pelko,fear,ballu,redsel,rädsla,redsel_DEU,N,FEELING,https://synaq.org/priv/heli/ev/0001h-01081.mp3,,,
hirmsa,hirmus,hirveä,terrible,issoras,forferdelig,förfärlig,forferdelig_DEU,A,OTHERS,https://synaq.org/priv/heli/ev/0001b-d-00167.mp3,,,
hiusõq,juuksed,tukka,hair,vuokta,hår,hår,hår_DEU,N,BODYPART_PL,,,,
hoitminõ,armastus,rakkaus,love,ráhkesvuohta,kjærlighet,kärlek,kjærlighet_DEU,N,FEELING,https://synaq.org/priv/heli/ev/000101285.mp3,,,
hopõn',hobune,hevonen,horse,heasta,hest,häst,hest_DEU,N,ANIMAL_DOM,https://synaq.org/priv/heli/ev/0001h-01133.mp3,,,
hotell',hotell,hotelli,hotel,hotealla,hotell,hotell,hotell_DEU,N,CITY,https://synaq.org/priv/heli/ev/0001h-01385.mp3,,,
hummogusüük',hommikusöök,aamupala,breakfast,iđitbiebmu,frokost,frukost,Früstück,N,FOOD_OTHER,https://synaq.org/priv/heli/ev/0001h-01193.mp3,,,
hummok,hommik,aamu,morning,iđit,morgen,morgon,morgen_DEU,N,TIME_POINT_LOC,https://synaq.org/priv/heli/ev/0001h-01180.mp3,,,
huul',huul,huuli,lip,bavssa,leppe,läpp,leppe_DEU,N,BODYPART,https://synaq.org/priv/heli/ev/0001h-01226.mp3,,,
huul'ma,hoolima,välittää,care,beroštit,bry seg om,bry sig om,sich kümmern um,V,HUM_V,https://synaq.org/priv/heli/ev/0001h-01267.mp3,,,
huulits,tänav,katu,street,gáhta,gate,gata,gate_DEU,N,CITY,https://synaq.org/priv/heli/ev/40001t-turist-p22lek2yj2-00851.mp3,,,
huuv',hoov,piha,yard,šillju,gårdsplass,gårdsplats,gårdsplass_DEU,N,PLACE_LOCAL,https://synaq.org/priv/heli/ev/0001h-01353.mp3,,,
huvi,huvi,kiinnostus,interest,beroštupmi,interesse,interess,interesse_DEU,N,YYY,https://synaq.org/priv/heli/ev/0001h-01604.mp3,,,
huvitav,huvitav,mielenkiintoinen,interesting,miellagiddevaš,interessant,intressant,interessant_DEU,A,ISSUE_A,https://synaq.org/priv/heli/ev/0001h-01618.mp3,,,
häbendelemä,häbenema,ujostella,be shy,ujostallat,være sjenert,være sjenert_SWE,være sjenert_DEU,V,HUM_V,,,,
häbendämä,häbenema,häpeä,shame,heahpat,skam,skam_SWE,skam_DEU,N,FEELING,https://synaq.org/priv/heli/ev/0001h-01783.mp3,,,
hädä,probleem,ongelma,problem,váttisvuohta,problem,problem,Problem,N,ABSTRACT,https://synaq.org/priv/heli/ev/0001b-d-00519.mp3,,,
hähn,rähn,tikka,woodpecker,čáihni,hakkespett,hakkespett_SWE,hakkespett_DEU,N,BODYPART,https://synaq.org/priv/heli/ev/0001r-02333.mp3,,,
hämmähtüs,kaste,kastike,sauce,buonjus,sevsa,buotnjomuš,saus,sås,Soße,Sauce,N,FOOD_DISH,https://synaq.org/priv/heli/ev/0001k-ka-ke-01462.mp3
hämmähüs,kaste,kastike,sauce,sevsa,saus,sås,saus_DEU,N,FOOD_OTHER,,,,
härm,ämblik,hämähäkki,spider,heavdni,edderkopp,spindel,edderkopp_DEU,N,ANIMAL_WILD,https://synaq.org/priv/heli/ev/0001item0650.mp3,,,
hää ilm,hea ilm,hieno ilma,nice weather,čáppadálki,finvær,fint väder,finvær_DEU,N,WEATHER,,,,
hää,parem,oikea,right,olgeš,høyre,höger,høyre_DEU,A,BODY_A,https://synaq.org/priv/heli/ev/000101333.mp3,,,
hääd üüd,head ööd,hyvää yötä,good night,buorre idja,god natt,god natt_SWE,god natt_DEU,Mwe,EXPRESSIONS,,,,
hõng,lõhn,haju,smell,hádja,lukt,lukt,lukt_DEU,N,FOOD_OTHER,https://synaq.org/priv/heli/ev/000101345.mp3,,,
hõngu tundma,haistma,haistaa,smell,haksit,lukte,lukta,riechen,V,BODY_V,,,,
hõpõ,hõbe,hopea,silver,silba,sølv,silver,sølv_DEU,N,NATURE,https://synaq.org/priv/heli/ev/0001h-01625.mp3,,,
hõraguq,punased sõstrad,herukat,redcurrants,jierehat,rips,röda vinbär,Johannisbeeren,N,FOOD_GROCERY_PL,,,,
hõrilaq,orel,urku,organ,orgel,orgel,orgel_SWE,orgel_DEU,N,INSTRUMENT,https://synaq.org/priv/heli/ev/0001n-o-02679.mp3,,,
igä,iga,ikä,age,ahki,alder,ålder,alder_DEU,N,TIME_OTHER,https://synaq.org/priv/heli/ev/0001b-d-01199.mp3,,,
iholiigõq,kehaosa,elin,bodypart,rumašlahttu,kroppsdel,kroppsdel,kroppsdel_DEU,N,BODYPART,https://synaq.org/priv/heli/ev/0001k-ke-ko-00108.mp3,,,
iispäiv,esmaspäev,maanantai,monday,mánnodat,mandag,måndag,mandag_DEU,N,TIME_POINT_GEN,https://synaq.org/priv/heli/ev/0001b-d-01825.mp3,,,
ijä,jää,jää,ice,jiekŋa,is,is,is_DEU,N,NATURE,https://synaq.org/priv/heli/ev/0001j-01160.mp3,,,
ijätsäi,jäätee,jäätee,ice tea,jäätee_SME,iste,iste,Eistee,N,DRINK,,,,
ijätüs,jäätis,jäätelö,ice cream,lákcajiekŋa,iskrem,glass,iskrem_DEU,N,FOOD_GROCERY,https://synaq.org/priv/heli/ev/0001j-00941.mp3,,,
ikma,nutma,itkeä,cry,čierrut,gråte,gråta,weinen,V,VERBAL_V,MORFAC_V,https://synaq.org/priv/heli/ev/0001n-o-01286.mp3,,
