ruslemma;ruslemma stressed;PoS;ZaliznjakCode;Book;Lesson;EnglishGloss;DanishGloss;NorwegianGloss;SemanticSet;AspectPartner;MotionPartner
женщина;же́нщина;;;MiP;L9;woman;kvinde;kvinne;;;
жизнь;жизнь;;;MiP;L10;life;liv;liv;;;
жить;жить;;;MiP;L1;live;bo, leve;bo, leve;;;
журнал;журна́л;;;MiP;L1;magazine;blad, tidsskrift;blad, tidsskrift;;;
за;за;;;MiP;L11;behind, for;bag, ved, for;bak, ved, for;;;
заболеть;заболе́ть;;;MiP;L16;get sick;blive syg;bli syk;;;
забывать;забыва́ть;;;MiP;L11;forget;glemme;glemme;;забы́ть;
забыть;забы́ть;;;MiP;L11;forget;glemme;glemme;;забыва́ть;
завтра;за́втра;;;MiP;L5;tomorrow;i morgen;i morgen;;;
завтрак;за́втрак;;;MiP;B3;breakfast;morgenmad;frokost;;;
завтракать;за́втракать;;;MiP;L4;eat breakfast;spise morgenmad;spise frokost;;поза́втракать;
загс;загс;;;MiP;L21;marriage registry;bryllupspalads;;;;
зайти;зайти́;;;MiP;L12;stop by;kigge ind;stikke innom;;заходи́ть;
заказать;заказа́ть;;;MiP;L19;order;bestille;bestille;;зака́зывать;
заказывать;зака́зывать;;;MiP;L19;order;bestille;bestille;;заказа́ть;
закричать;закрича́ть;;;MiP;L18;yell;råbe;rope;;;
закрываться;закрыва́ться;;;MiP;L18;close;blive lukket;lukkes;;закры́ться;
закрыться;закры́ться;;;MiP;L18;close;blive lukket;lukkes;;закрыва́ться;
закуска;заку́ска;;;MiP;L7;hors d'oeuvre;forret;forrett;;;
зал;зал;;;MiP;L21;hall, room;sal;sal;;;
заместитель;замести́тель;;;MiP;L15;representative;stedfortræder;stedfortreder;;;
замужем;за́мужем;;;MiP;;married woman;gift kvinde;gift kvinne;;;
заниматься;занима́ться;;;MiP;L16;be busy with;beskæftige sig med, dyrke;drive med;;заня́ться;
заняться;заня́ться;;;MiP;L16;be busy with;beskæftige sig med, dyrke;drive med;;занима́ться;
запад;за́пад;;;MiP;L7;west;vest;vest;;;
заплатить;заплати́ть;;;MiP;L8;pay;betale;betale;;плати́ть;
запомнить;запо́мнить;;;MiP;L8;commit to memory;huske;huske;;;
зарабатывать;зараба́тывать;;;MiP;L14;earn;tjene penge;tjene penger;;зарабо́тать;
заработать;зарабо́тать;;;MiP;L14;earn;tjene penge;tjene penger;;зараба́тывать;
заходить;заходи́ть;;;MiP;L12;stop by;kigge ind;stikke innom;;зайти́;
звать;звать;;;MiP;L2;call, be called;hedde om personer;hete om personer;;;
зверь;зверь;;;MiP;;animal, beast;dyr, vildt dyr;dyr, villdyr;;;
звонить;звони́ть;;;MiP;L2;ring, call;ringe;ringe;;позвони́ть;
звонок;звоно́к;;;MiP;L2;ring, call;klokke;;;;
здесь;здесь;;;MiP;;here;her;her;;;
здоровье;здоро́вье;;;MiP;L12;health;sundhed, helbred;helse;;;
здравствуй;здра́вствуй;;;MiP;L2;hello;goddag;god dag;;;
здравствуйте;здра́вствуйте;;;MiP;L2;hello;goddag;god dag;;;
зеленый;зелёный;;;MiP;L2;green;grøn;grønn;;;
зима;зима́;;;MiP;L17;winter;vinter;vinter;;;
зимний;зи́мний;;;MiP;L17;winter;vinterrelatered;vinterrelatert;;;
зимой;зимо́й;;;MiP;L17;in the winter;om vinteren;om vinteren;;;
знакомиться;знако́миться;;;MiP;;get to know;lære hinanden at kende;bli kjent;;познако́миться;
знакомый;знако́мый;;;MiP;L13;familiar, acquaintance;bekendt, ven;bekjent, venn;;;
знать;знать;;;MiP;L2;know;kende;kjenne, vite;;;
значить;значи́ть;;;MiP;L9;mean;betyde;bety;;;
и;и;;;MiP;B1;and;og;og;;;
играть;игра́ть;;;MiP;L1;play;lege, spille;leke, spille;;сыгра́ть;
играть;игра́ть;;;MiP;L1;play;lege, spille;leke, spille;;;
идти;идти́;;;MiP;L6;walk;gå;gå;;пойти́;ходи́ть
из;из;;;MiP;L7;from;fra;fra;;;
извинить;извини́ть;;;MiP;L2;excuse;undskylde;unnskylde;;;
изучать;изуча́ть;;;MiP;L11;study;studere noget;studere noe;;изучи́ть;
изучить;изучи́ть;;;MiP;L11;learn;studere noget;studere noe;;изуча́ть;
икона;ико́на;;;MiP;L4;icon;ikon;ikon;;;
икра;икра́;;;MiP;L20;caviar;kaviar;kaviar;;;
или;и́ли;;;MiP;B5;or;eller;eller;;;
импорт;и́́мпорт;;;MiP;B6;import;import;import;;;
импортировать;импорти́ровать;;;MiP;L7;import;importere;importere;;;
импортный;и́мпортный;;;MiP;L19;imported;importeret;importert;;;
импульсивный;импульси́вный;;;MiP;L19;impulsive;impulsiv;impulsiv;;;
инженер;инжене́р;;;MiP;L15;engineer;ingeniør;ingeniør;;;
иногда;иногда́;;;MiP;L10;sometimes;undertiden, af og til;av og til;;;
интервью;интервью́;;;MiP;L1;interview;interview;intervju;;;
интересный;интере́сный;;;MiP;L3;interesting;spændende, interessant;spennende, interessant;;;
интересовать;интересова́ть;;;MiP;L14;interest;interessere;interessere;;;
интересоваться;интересова́ться;;;MiP;L16;be interested;interessere sig for;interessere seg for;;поинтересова́ться;
искупаться;искупа́ться;;;MiP;L17;bathe, go swimming;bade;bade;;купа́ться;
Испания;Испа́ния;;;MiP;L7;Spain;Spanien;Spania;;;
их;их;;;MiP;B5;their;deres;deres;;;
июль;ию́ль;;;MiP;;July;juli;juli;;;
июнь;ию́нь;;;MiP;L21;June;juni;juni;;;
к;к;;;MiP;L11;to;til;til;;;
кабина;каби́на;;;MiP;L20;cabin;kabine;kabin;;;
кабинет;кабине́т;;;MiP;;office;kontorrum;kontorrom;;;
каждый;ка́ждый;;;MiP;L9;every;enhver;hver;;;
казаться;каза́ться;;;MiP;L14;seem;synes, forekomme;synes, forekomme;;показа́ться;
как;как;;;MiP;L3;how;hvordan;hvordan;;;
какой;како́й;;;MiP;B8;what sort of, which;sikke en, hvilken;hva slags, hvilken;;;
календарь;календа́рь;;;MiP;B6;calendar;kalender;kalender;;;
капитализм;капитали́зм;;;MiP;L11;capitalism;kapitalisme;kapitalisme;;;
карандаш;каранда́ш;;;MiP;B6;pencil;blyant;blyant;;;
карта;ка́рта;;;MiP;B2;map;kort;kart;;;
картина;карти́на;;;MiP;L4;picture, painting;billede, maleri;bilde, maleri;;;
картинка;карти́нка;;;MiP;B2;picture;billede;bilde;;;
карточка;ка́рточка;;;MiP;L19;card;kort;kort;;;
картошка;карто́шка;;;MiP;L3;potatoes;kartofler;poteter;;;
касса;ка́сса;;;MiP;L8;cash register;kasse;kasse;;;
кассир;касси́р;;;MiP;L16;cashier;kassedame;kassedame;;;
кафе;кафе́;;;MiP;L6;cafe;cafe;kafe;;;
каша;ка́ша;;;MiP;B3;porridge, mash;grød;grøt;;;
квартира;кварти́ра;;;MiP;L1;apartment;lejlighed;leilighet;;;
килограмм;килогра́мм;;;MiP;L8;kilogram;kilo;kilo;;;
кино;кино́;;;MiP;L6;movie theater;biograf;kino;;;
кинотеатр;кинотеа́тр;;;MiP;B9;movie theater;biograf;kino;;;
киоск;кио́ск;;;MiP;B1;kiosk;kiosk;kiosk;;;
классический;класси́ческий;;;MiP;L16;classical;klassisk;klassisk;;;
класть;класть;;;MiP;L21;put lying down;lægge;legge;;положи́ть;
клоун;кло́ун;;;MiP;B4;clown;klovn;klovn;;;
клуб;клуб;;;MiP;L9;club;klub;klubb;;;
ключ;ключ;;;MiP;;key;nøgle;nøkkel;;;
книга;кни́га;;;MiP;B2;book;bog;bok;;;
книжный;кни́жный;;;MiP;L6;book-related;bogrelatered;bokrelatert;;;
когда;когда́;;;MiP;L1;when;hvornår, da, når;da, når;;;
кокетливо;коке́тливо;;;MiP;L19;flirting;koket;kokett;;;
колбаса;колбаса́;;;MiP;L7;sausage;pølse;pølse;;;
колхоз;колхо́з;;;MiP;B9;collective farm;kolkhos-landbrug;kollektivbruk;;;
комедия;коме́дия;;;MiP;L12;comedy;komedie;komedie;;;
коммуналка;коммуна́лка;;;MiP;L10;communal apartment;fælleslejlighed;fellesleilighet;;;
комната;ко́мната;;;MiP;;room;værelse;værelse, rom;;;
компакт-диск;компа́кт-диск;;;MiP;B9;CD;CD;CD;;;
компот;компо́т;;;MiP;B7;compote;frugtdrik;fruktdrikk;;;
компьютер;компью́тер;;;MiP;B6;computer;komputer;datamaskin;;;
конверт;конве́рт;;;MiP;L15;envelope;konvolut;konvolutt;;;
