ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddesteaskka
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddáneaskka
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddiineaskka

ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddeska
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddesteaskka
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddáneaskka
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddiineaskka

ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddeska
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddesteaskka
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddáneaskka
ieš+Pron+Refl+Loc+PxDu3+Use/NG	alddiineaskka

ieš+Pron+Refl+Gen+PxPl1+Use/NG	iehčamet
ieš+Pron+Refl+Gen+PxPl1+Use/NG	iežaideamet

ieš+Pron+Refl+Acc+PxPl1+Use/NG	iehčamet
ieš+Pron+Refl+Acc+PxPl1+Use/NG	iežaideamet

ieš+Pron+Refl+Gen+PxPl1+Use/NG	iehčamet
ieš+Pron+Refl+Gen+PxPl1+Use/NG	iežaideamet

ieš+Pron+Refl+Acc+PxPl1+Use/NG	iehčamet
ieš+Pron+Refl+Acc+PxPl1+Use/NG	iežaideamet

ieš+Pron+Refl+Gen+PxPl1+Use/NG	iehčamet
ieš+Pron+Refl+Gen+PxPl1+Use/NG	iežaideamet

ieš+Pron+Refl+Acc+PxPl1+Use/NG	iehčamet
ieš+Pron+Refl+Acc+PxPl1+Use/NG	iežaideamet

ieš+Pron+Refl+Gen+PxPl1+Use/NG	iehčamet
ieš+Pron+Refl+Gen+PxPl1+Use/NG	iežaideamet

ieš+Pron+Refl+Acc+PxPl1+Use/NG	iehčamet
ieš+Pron+Refl+Acc+PxPl1+Use/NG	iežaideamet

ieš+Pron+Refl+Ill+PxPl1+Use/NG	allaseamet
ieš+Pron+Refl+Ill+PxPl1+Use/NG	alccamet
ieš+Pron+Refl+Ill+PxPl1+Use/NG	alccemet

ieš+Pron+Refl+Ill+PxPl1+Use/NG	allaseamet
ieš+Pron+Refl+Ill+PxPl1+Use/NG	alccamet
ieš+Pron+Refl+Ill+PxPl1+Use/NG	alccemet

ieš+Pron+Refl+Ill+PxPl1+Use/NG	allaseamet
ieš+Pron+Refl+Ill+PxPl1+Use/NG	alccamet
ieš+Pron+Refl+Ill+PxPl1+Use/NG	alccemet

ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddesteamet
ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddáneamet
ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddiineamet

ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddesteamet
ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddáneamet
ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddiineamet

ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddesteamet
ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddáneamet
ieš+Pron+Refl+Loc+PxPl1+Use/NG	alddiineamet

ieš+Pron+Refl+Gen+PxPl2+Use/NG	iežaideattet

ieš+Pron+Refl+Acc+PxPl2+Use/NG	iežaideattet

