mul on kiire|MWE
muna|S
mäng|S
naljamees|S
ning|J
oks|S
paistma|V
park|S
peal|Adv
perekond|S
pesa|S
pilv|S
pilves|Adv
pime|A
pime|S
ploom|S
puhkama|V
puhkus|S
püha|S
püha|A
reis|S
reisima|V
saar|S
sadama|V
sest|
soe|A
soovima|V
sulama|V
suvi|S
suvila|S
sügis|S
sünnipäev|S
tahtma|V
talv|S
tavaliselt|Adv
tervis|S
terviseks|I
tore|A
tuba|S
tugev|A
tuju|S
tuletorn|S
tuul|S
ujuma|V
vaheaeg|S
vihm|S
vihmatrall|S
vihmavari|S
värviline|A
õun|S|apple|яблоко|Apfel|omena|6
õnn|S|happiness, luck|счастье|Glück, Freude|onni|6
abielu|S|marriage|брак|Ehe|avioliitto|7
abielluma|V|to get married|жениться|heiraten|mennä naimisiin|7
abikaasa|S|spouse|супруг, супруга|Ehepartner|aviopuoliso, puoliso|7|FAMILY
all|Adv|under|под|unter|alla|7
ees|Adv|in front of|впереди|vor|edellä, edessä|7
elukaaslane|S|partner|спутник жизни|Lebensgefährte, Lebensgefährtin|elämänkumppani|7|FAMILYhakkama|to begin, to start doing|начинать|anfangen|ryhtyä, ruveta|7
heidavad magama|MWE|they go to sleep|ложатся спать|sie gehen schlafen|menevät nukkumaan|7
hiir|S|mouse|мышь|Maus|hiiri|7|ANIMAL_WILD
imelik|A|strange|странный|seltsam|ihmeellinen|7
juurde|Adv|to|к|zu|luokse|7
juust|S|cheese|сыр|Käse|juusto|7|FOOD
kasvama|V|to grow|расти|wachsen|kasvaa|7
kingitus|S|gift, present|подарок|Geschenk|lahja|7
kinkima|V|to make a gift|подарить|schenken|antaa lahja|7
kirss|S|cherry|вишня|Kirsche|kirsikka|7|FOOD
korras|Adv|in order|в порядке|in Ordnung|kunnossa|7
köök|S|kitchen|кухня|Küche|keittiö|7
lahutatud| X|divorced|разведен|geschieden|eronnut|7
lapselaps|S|grandchild|внук, внучка|Enkelkind|lapsenlapsi|7|FAMILY
lasteaed|S|preschool|детский сад|Kindergarten|lastentarha|7
laul|S|song|песня|Lied|laulu|7
läbi|Adv|through|после, сквозь, через|durch, über, nach|läpi, lävitse|7
magama|V|to sleep|спать|schlafen|nukkua|7
mesi|S|honey|мёд|Honig|hunaja|7|FOOD
mesilane|S|bee|пчела, пчёлка|Biene|mehiläinen|7|ANIMAL_DOM
mesipuu|S|beehive|улей|Bienenstock|mehiläispönttö|7
naer|S|laughter|смех, хохот|Gelächter|nauru|7
noor|S|young|молодой, юный|jung|nuori|7
noor|A|young|молодой, юный|jung|nuori|7
närima|V|to gnaw|грызть, обгрызать,|nagen, kauen|nakertaa|7
onu|S|uncle|дядя|Onkel|setä|7|FAMILY
pidama|V|to have to, must|должен, быть обязанным|müssen|pitää|7
pidu|S|party|праздник|Fest|juhla, juhlat|7
pirn|S|pear|груша|Birne|päärynä|7|FOOD
pulm|S|wedding|свадьба|Hochzeit|häät|7
pärast|Adv|after|потом, через, спустя|nach, danach|jälkeen|7
pärima|V|to ask a question|спрашивать|fragen|kysyä|7
saama|V|to be able to|получать, приобретать|können, erreichen, bekommen|voida, pystyä, saada|7
sugulane|S|relative|родственник, родственница|Verwandte, Verwandter|sukulainen|7
surema|V|to die|умереть, скончаться|sterben|kuolla|7
surnud|A|dead|умер|tot|kuollut|7
taga|Adv|behind|позади|hinter|takana|7
