tund|lesson, hour|час, урок|Stunde, Unterrichtsstunde tunti|5täna|today|сегодня|heute|tänään|5
tänama|to thank|благодарить|danken|kiittää|5
tänan väga|thank you very much|благодарю|danke sehr!|suuri kiitos|5
suur tänu|(big) thank you! thank you! big thank you!|большое спасибо|vielen Dank!|kiitos paljon|5
tähtis|important|важный|wichtig|tärkeä|5
täpselt|exactly|точно|genau|täsmälleen|5
uks|door|дверь|Tür|ovi|5
vanemad|parents|родители|Eltern|vanhemmat|5
vara|early|рано|früh|aikaisin|5
veab|transports|возит|transportiert|kuljettaa, vetää|5
veerand viis|a quarter past four|четверть пятого|viertel nach vier|vartti yli neljä|5
viga|mistake|ошибка|Fehler|vika|5
viima|to take somewhere|нести, веcти|bringen, tragen|viedä|5
viimane|last|последний|letzte, letzter, letztes|viimeinen|5
vist|probably|наверное|wahrscheinlich|kai, ehkä, kenties|5
võib-olla|maybe|может быть|vielleicht|voi olla|5
välja|out|вы–, из|heraus|ulos|5
üleeile|day before yesterday|позавчера|vorgestern|toissa päivänä|5
ülehomme|day after tomorrow|послезавтра|übermorgen|ylihuomenna|5
üles tõusma|to get up|просыпаться|aufstehen|nousta|5
ära|away|долой|weg|pois, irti|5
aastaaeg|season|время года|Jahreszeit|vuodenaika|6|6
aed|garden|сад, огород|Garten|puutarha|6
alati|always|всегда|immer|aina, alati|6
algus|beginning|начало|Anfang|alku|6
all|under|под|unter|alla|6
ei... ega|neither… nor|ни... ни|weder... noch|ei… eikä|6
enam|more, any more|больше|mehr|enämmän, enää|6
huvitav|interesting|интересный|interessant|kiinnostava|6
hüppas|jumped|прыгал|hüpfte|hyppäsi|6
ise|myself|сам, сама|selbst|itse|6
jalutama|to walk|гулять|spazieren|kävellä|6
jooksma|to run|бегать|rennen, laufen|juosta|6
jõgi|river|река|Fluss|joki|6
jõulud|Christmas|Рождество|Weihnachten|joulu|6
jänes|rabbit, hare|заяц|Hase|jänis|6
keskel|in the middle of|посередине|inmitten von|keskellä|6
kevad|spring|весна|Frühling|kevät|6
koht|place|место|Ort|kohta|6
kraad|degree|градус|Grad|aste|6
kuid|but|но|sondern, aber|mutta, vaan|6
kunagi|ever|когда-то, никогда|jemals|joskus, ei koskaan|6
kõik|all|все, всё|alle, alles|kaikki|6
käima|to go (back and forth), to go|xодить, бывать|gehen (hin und zurück), gehen|käydä|6
küla|village|деревня|Dorf|kylä|6
külm|cold|холодно|kalt|kylmä|6
laulma|to sing|петь|singen|laulaa|6
leht|leaf|лист|Blatt|lehti|6
lendama|to fly|летать|fliegen|lentää|6
lind|bird|птица|Vogel|lintu|6
loss|castle|замок|Schloss|linna|6
lumemees|snowman|снеговик|Schneemann|lumiukko|6
lumememm|snow-woman|снежная баба|Schneefrau|lumiakka|6
lumi|snow|снег|Schnee|lumi|6
lund sajab|it’s snowing, it is snowing|идёт снег|es schneit|sataa lunta|6
lõbus|jolly, amusing|весёлый|freudig|hauska, huvittava|6
mets|forest, woods|лес|Wald|metsä|6
milline?|which? what kind of?|какой? какая? какое?|was für...? welche?|millainen?|6
missugune?|which? what kind of?|какой? какая? какое?|was für...? welche?|millainen?|6
mul on kiire|I‘m in a hurry.|я спешу|ich bin in Eile|minulla on kiire|6
muna|egg|яйцо|Ei|muna|6
mäng|game|игра|Spiel|leikki, peli|6
naljamees|funny guy|шутник, чудак|lustiger Kerl|vitsikäs mies|6
ning|and|и|und|sekä, ja|6
oks|branch|ветка|Ast|oksa|6
paistma|to shine|светить|scheinen, erscheinen|paistaa|6
park|park|парк|Park|puisto|6
peal|on|на|auf, über|päällä|6
perekond|family|семья|Familie|perhe|6
pesa|nest|гнездо|Nest|pesä|6
pilv|cloud|облако, туча|Wolke|pilvi|6
pilves|cloudy|облачный|bewölkt|pilvessä|6
pime|dark|тёмный|dunkel|pimeä|6
ploom|plum|слива|Pflaume|luumu|6
puhkama|to rest|отдыхать|sich ruhen, sich ausruhen, ruhen, ausruhen, sich erholen|levätä, lepäillä, viettää lomaa|6
puhkus|holiday, vacation|отдых, отпуск|Urlaub|loma|6
püha|state holiday|праздник|Feiertag|pyhä, juhlapäivä|6
reis|trip, journey|путешествие, поездка|Reise|matka|6
reisima|to travel|путешествовать|reisen|matkustaa|6
saar|island|остров|Insel|saari|6
sadama|to rain|идти (о дожде), идти|regnen|satama|6
sest|because|потому что|weil|koska|6
soe|warm|тёплый|warm|lämmin|6
soovima|to wish|желать|wünschen|toivoa|6
sulama|to melt|таять|schmelzen|sulattaa|6
suvi|summer|лето|Sommer|kesä|6
suvila|summer house|дача|Ferienhaus|kesämökki|6
sügis|autumn, fall|осень|Herbst|syksy|6
sünnipäev|birthday|день рождения|Geburtstag|syntymäpäivä|6
tahtma|to want|хотеть, желать|wollen|tahtoa, haluta|6
talv|winter|зима|Winter|talvi|6
tavaliselt|usually|обычно|normalerweise|tavallisesti|6
tervis|health|здоровье|Gesundheit|terveys|6
terviseks!|cheers!|на здоровье!|Prost! zum Wohl!|terveydeksi!|6
tore|wonderful, great|прекрасный, славный|wunderbar|komea, upea|6
tuba|room|комната|Zimmer|huone|6
tugev|strong|сильный|stark|voimakas, vahva|6
tuju|mood|настроение|Stimmung, Laune|mieliala, tuuli|6
tuletorn|lighthouse|маяк|Leuchtturm|majakka|6
tuul|wind|ветер|Wind|tuuli|6
ujuma|to swim|плавать|schwimmen|uida|6
vaheaeg|school holiday|школьные каникулы|Ferien|loma|6
vihm|rain|дождь|Regen|sade|6
vihmatrall|rain party|праздник дождя|Regenfeier|sateen juhla|6
vihmavari|umbrella|зонтик|Regenschirm|sateenvarjo|6
värviline|colorful|цветной|farbenfroh|värillinen|6
õun|apple|яблоко|Apfel|omena|6
õnn|happiness, luck|счастье|Glück, Freude|onni|6
abielu|marriage|брак|Ehe|avioliitto|7
abielluma|to get married|жениться|heiraten|mennä naimisiin|7
abikaasa|spouse|супруг, супруга|Ehepartner|aviopuoliso, puoliso|7
all|under|под|unter|alla|7
ees|in front of|впереди|vor|edellä, edessä|7
